trial,job_id,n_estimators,max_depth,min_samples_leaf,seed,val_roc_auc,test_roc_auc,wall_clock_seconds,estimated_cost_thb
7,magenta_caravan_mdgnlw3rh2,200,4,5,20260101,0.8405,0.8543,95.2,0.0952
6,lemon_queen_hvq84brv2l,200,4,1,20260101,0.8399,0.8535,94.1,0.0941
1,lemon_shoe_0l58mgzw83,100,4,5,20260101,0.8426,0.8533,72.6,0.0726
0,bubbly_guitar_2jryqt47py,100,4,1,20260101,0.8424,0.8518,79.3,0.0793
2,ivory_fig_5m20spzps7,100,8,1,20260101,0.8312,0.8488,75.5,0.0755
8,gifted_cherry_n5ht4dgppt,200,8,1,20260101,0.8318,0.8483,94.3,0.0943
9,magenta_rocket_qr7130d3zf,200,8,5,20260101,0.8364,0.8482,74.3,0.0743
3,good_tray_nbl48gxwt3,100,8,5,20260101,0.8397,0.8466,459.2,0.4592
11,crimson_carpet_33l6ldq08h,200,12,5,20260101,0.8352,0.8424,734.0,0.7340
5,bold_cake_n7x1xg0z8j,100,12,5,20260101,0.8322,0.8417,95.9,0.0959
4,boring_pumpkin_kzx383zdjv,100,12,1,20260101,0.8268,0.8415,73.7,0.0737
10,witty_grape_bww27zt5gj,200,12,1,20260101,0.8267,0.8381,75.0,0.0750
